"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"24/01/2023","SCB PREF","0.90","0.90","0.90","0.90","0.90","0.90","0","0.90","","0.00","0.00"
"24/01/2023","SIC","0.31","0.31","0.31","0.31","0.31","0.31","0","","0.31","9.00","2.79"
"24/01/2023","SOGEGH","1.00","1.00","1.00","1.00","1.00","1.00","0","","1.00","0.00","0.00"
"24/01/2023","SWL","0.05","0.05","0.05","0.05","0.05","0.05","0","","","0.00","0.00"
"24/01/2023","TBL","0.80","0.80","0.80","0.80","0.80","0.80","0","0.80","","0.00","0.00"
"24/01/2023","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0","","11.92","0.00","0.00"
"24/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.05","","0.00","0.00"
"24/01/2023","UNIL","3.88","2.58","2.85","2.85","2.58","2.58","-0.27","2.85","3.00","1,020.00","2,631.60"
"23/01/2023","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.00","0.00"
"23/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"23/01/2023","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0","","5.06","0.00","0.00"
"23/01/2023","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0","37.00","","0.00","0.00"
"23/01/2023","ALW","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.00","0.00"
"23/01/2023","ASG","8.87","8.87","8.87","8.87","8.87","8.87","0","","","0.00","0.00"
"23/01/2023","BOPP","8.00","7.65","8.00","8.00","8.00","8.00","0","8.06","","400.00","3,200.00"
"23/01/2023","CAL","0.65","0.58","0.58","0.58","0.58","0.58","0","0.58","0.60","46.00","26.68"
"23/01/2023","CLYD","0.03","0.03","0.03","0.03","0.03","0.03","0","","0.03","0.00","0.00"
"23/01/2023","CMLT","0.10","0.10","0.10","0.10","0.10","0.10","0","","0.10","0.00","0.00"
"23/01/2023","CPC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"23/01/2023","DASPHARMA","0.40","0.40","0.40","0.40","0.40","0.40","0","","0.40","0.00","0.00"
"23/01/2023","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0","","0.09","0.00","0.00"
"23/01/2023","EGH","6.64","6.64","6.64","6.64","6.64","6.64","0","","6.40","0.00","0.00"
"23/01/2023","EGL","3.20","3.20","3.20","3.20","3.20","3.20","0","","3.15","0.00","0.00"
"23/01/2023","ETI","0.15","0.15","0.15","0.15","0.15","0.15","0","","0.15","3.00","0.45"
"23/01/2023","FML","3.00","3.00","3.00","3.00","3.00","3.00","0","","3.00","0.00","0.00"
